n,p,instance,objective,runtime_sec
250,0.9,11,14473,753.650260859009
250,0.9,12,14949,750.4426857270009
250,0.9,13,13161,750.0869294950098
250,0.9,14,15271,753.9979930150002
250,0.9,15,13442,752.5236695720087
250,0.9,16,12862,750.3928448959923
250,0.9,17,12966,753.3707785759907
250,0.9,18,13733,750.9336982459936
250,0.9,19,12874,750.1526546750101
250,0.9,2,13290,751.9691434959968
250,0.9,20,13081,753.2461119990039
250,0.9,3,13395,751.2078160289966
250,0.9,4,13369,752.8254803669988
250,0.9,5,13067,750.701790510997
250,0.9,6,13132,750.0719967900077
250,0.9,7,13560,753.5508160099998
250,0.9,8,13565,752.6090899080009
250,0.9,9,13273,752.8837262349989
50,0.1,1,11,0.26350519400148187
50,0.1,10,8,0.062130999998771586
50,0.1,11,4,0.006989333996898495
50,0.1,12,11,0.12517038600344677
50,0.1,13,16,0.07764555899484549
50,0.1,14,14,2.9574268129945267
50,0.1,15,13,2.176504325994756
50,0.1,16,8,0.09765045699896291
50,0.1,17,11,0.3660812000016449
50,0.1,18,8,0.050811526001780294
50,0.1,19,7,0.039949076002812944
50,0.1,2,12,0.09834921199944802
50,0.1,20,10,0.07504222600255162
50,0.1,3,13,0.12098420299298596
50,0.1,4,9,0.06593719699594658
50,0.1,5,8,0.12952161699649878
50,0.1,6,15,1.5610476000001654
50,0.1,7,8,0.04446347699558828
50,0.1,8,8,0.02042566498857923
50,0.1,9,6,0.044157337993965484
50,0.5,1,158,150.06547974600107
50,0.5,10,185,150.05463990199496
50,0.5,11,172,150.04917868800112
50,0.5,12,159,150.0840979880013
50,0.5,13,171,150.0596375019959
50,0.5,14,168,150.05414416299027
50,0.5,15,177,150.05059293098748
50,0.5,16,162,150.05071745700843
50,0.5,17,174,150.0395984559873
50,0.5,18,178,150.0388470589969
50,0.5,19,174,150.0727636369993
50,0.5,2,161,150.03938752900285
50,0.5,20,169,150.04471483800444
50,0.5,3,161,110.04798792600923
50,0.5,4,171,150.10989607000374
50,0.5,5,164,150.0616816260008
50,0.5,6,172,150.04206948599312
50,0.5,7,148,138.03716789199098
50,0.5,8,153,132.87581330999092
50,0.5,9,172,150.04997088899836
50,0.9,1,361,150.0442123190005
50,0.9,10,366,150.08967045600002
50,0.9,11,361,150.03421453599003
50,0.9,12,388,150.37231231099577
50,0.9,13,378,150.07013978500618
50,0.9,14,370,150.0486138069973
50,0.9,15,370,150.04016512499948
50,0.9,16,359,150.09174109000014
50,0.9,17,367,150.1305352700001
50,0.9,18,367,150.13915212400025
50,0.9,19,370,150.30124045399134
50,0.9,2,362,150.11416377300338
50,0.9,20,372,150.0497922779905
50,0.9,3,372,150.05347755200637
50,0.9,4,357,150.66486347498721
50,0.9,5,376,150.0366164110019
50,0.9,6,368,150.03297308999754
50,0.9,7,354,150.02333963100682
50,0.9,8,363,150.0343145520019
50,0.9,9,357,151.2684895519924
